"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"4095","LU.BOHA",45,0.818263112118183,0,0.295369551208763,0.25200459100564,0.346196755515909,0.950276617683782,0.834417428418232,1.06613580694933,3,0,NA,NA
"4096","CE.ARGU",23,0.621626500775346,7.8739617861423e-06,0.269535886759305,0.193826327931674,0.374817987970833,1.10858424592159,0.876584733126847,1.34058375871634,3,0,NA,NA
"4097","CE.UROD",39,0.823575830898285,1.77635683940025e-15,0.324946398963682,0.278183666070166,0.37956995711183,0.947035592367566,0.847911376222776,1.04615980851236,3,0,NA,NA
"4098","VA.LOUT",12,0.927890747700542,4.94915977977683e-07,0.343896217689638,0.269922392365107,0.438143006606394,0.892956212042422,0.626945698539824,1.15896672554502,3,2.77844414142692e-12,NA,NA
"4099","PA.ARCA",24,0.241291081738724,0.0147865771251876,0.222370224861762,0.158496615583159,0.311984686380423,0.947264521502394,0.865895112345409,1.02863393065938,3,0,NA,NA
"4100","MO.GRAN",66,0.552343807666449,8.93507490218326e-13,0.403327792447683,0.340488908162588,0.477763898502805,0.480309459538025,0.314025433474995,0.646593485601054,3,0,NA,NA
"4101","PA.INSU",86,0.748007777947579,0,0.350526379883476,0.305019447419402,0.402822652895539,0.686301340555363,0.576299494361112,0.796303186749613,3,0,NA,NA
"4102","CA.TERE",23,0.743687282166246,1.21829823784836e-07,0.349880424294118,0.287375620341166,0.425980155028121,0.521780548937152,0.356321955700422,0.687239142173882,3,0,NA,NA
"4103","PT.TILE",34,0.861367096365196,2.66453525910038e-15,0.472550044099122,0.42220295520764,0.528900950179899,0.265359837272555,0.18741233694624,0.34330733759887,3,0,NA,NA
"4104","CH.VAND",63,0.14811895743646,0.0018426213419418,0.624134619447651,0.495273603065109,0.786522885092776,0.28862198622903,0.2492535648587,0.327990407599361,3,0,NA,NA
"4105","PS.BART",8,0.940450421597718,6.75197991264476e-05,0.261237266437102,0.25889046197838,0.263605344337592,0.568152862074657,0.566870681878386,0.569435042270928,3,0,NA,NA
"4106","PS.DISP",10,0.922328693541906,1.02768560301669e-05,0.567575699033972,0.465751046335231,0.691661729305134,0.511235922331857,0.447218336175607,0.575253508488107,3,1.87594062506236e-09,NA,NA
"4107","PS.OLIV",85,0.354205368893349,1.8902166498691e-09,0.372001379357342,0.315702935591972,0.438339371106196,0.579967302858412,0.538480438524124,0.621454167192699,3,0,NA,NA
"4108","AC.NIGR",25,0.191554299459648,0.0286669996087139,0.349332649472905,0.24733055730037,0.493401629462049,0.205432455219005,-0.0489235842401838,0.459788494678194,3,0,NA,NA
