type,SpecimenID,SpeciesCode,Family,j_fg,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,Prey_zps,pType,pSize,ga
fish,KIF11_009,PA.INSU,Mullidae,BI,30,512 - 1024 g,565.5,260,30.14,40.86,327,285,SC,y,fish,30,967.2338603
fish,KIF11_011,PA.INSU,Mullidae,BI,30,256 - 512 g,297,215,27.24,31.14,271,235,SC,y,invert,35,666.2168195
fish,KIF11_011,PA.INSU,Mullidae,BI,30,256 - 512 g,297,215,27.24,31.14,271,235,SC,y,invert,20,666.2168195
fish,KIF11_025,LU.BOHA,Lutjanidae,Pi,35,64 - 128 g,110.6,149,33.84,32.36,189,172,SC,y,fish,60,860.0599978
fish,KIF11_047,PA.INSU,Mullidae,BI,27,512 - 1024 g,690.8,298,31.4,35.4,355,320,RT,y,fish,45,873.0171825
fish,KIF11_047,PA.INSU,Mullidae,BI,27,512 - 1024 g,690.8,298,31.4,35.4,355,320,RT,y,invert,50,873.0171825
fish,KIF11_050,CA.MELA,Carangidae,Pi,27,256 - 512 g,263.3,223,27.6,31,272,236,SC,y,fish,19.3,671.9866686
fish,KIF11_058,PA.INSU,Mullidae,BI,9,256 - 512 g,306.4,216,22.5,27.5,271,243,JB,y,invert,32,485.9651136
fish,KIF11_058,PA.INSU,Mullidae,BI,9,256 - 512 g,306.4,216,22.5,27.5,271,243,JB,y,fish,23,485.9651136
fish,KIF11_058,PA.INSU,Mullidae,BI,9,256 - 512 g,306.4,216,22.5,27.5,271,243,JB,y,invert,10,485.9651136
fish,KIF11_060,PA.INSU,Mullidae,BI,9,256 - 512 g,405.4,254,31.4,40.8,310,275,RT,y,invert,30,1006.189295
fish,KIF11_060,PA.INSU,Mullidae,BI,9,256 - 512 g,405.4,254,31.4,40.8,310,275,RT,y,invert,15,1006.189295
fish,KIF11_060,PA.INSU,Mullidae,BI,9,256 - 512 g,405.4,254,31.4,40.8,310,275,RT,y,invert,13,1006.189295
