group,elev,slp_test,slope,lower,upper,slp_p_val,xy_r2,xy_cor,n,from,to,allometry,sig,gape
PA.INSU,-0.861423365748769,1,1.02532955737617,0.911791456078126,1.1530056508219,0.673426052355285,0.753259054229128,0,86,44.1195855674001,288.848009235844,I,*,GW
CA.TERE,-0.882645263390264,1,0.965525313191191,0.771304611412421,1.20865234904511,0.750481623462966,0.64197205895389,4.34537406990287e-06,23,141.183960748107,265.783126943099,I,*,GW
PT.TILE,-2.11829829566331,1,1.49551581983288,1.27964581508409,1.74780204100729,6.57051878882875e-06,0.81805340216028,2.21600515715181e-13,34,59.7745871202058,204.036675418374,P,*,GW
CH.VAND,-2.64573130122255,1,1.98429812228261,1.65208572983526,2.38331399332826,3.86353171677456e-11,0.479942568735911,3.15706127906878e-10,63,21.2006039372413,39.7451081073169,P,*,GW
PS.BART,-0.797048004476769,1,0.885573843569754,0.631110786065296,1.24263607868963,0.421125062187279,0.818363480935049,0.00201615005455658,8,24.1921157688284,60.6316228725783,I,*,GW
PS.DISP,-1.24345764929455,1,1.23294769129808,0.839323735604003,1.81117242965054,0.252139164703134,0.815969606567102,0.000339778184577977,10,35.2622833689649,56.0668205725466,I,*,GW
PS.OLIV,-0.979314466450434,1,1.03112997752967,0.891205217678968,1.19302379459737,0.677992389317527,0.622104752999333,0,85,27.3921421873056,76.424434229777,I,*,GW
AC.NIGR,-1.48923407242303,1,1.14093014318486,0.787704590533512,1.6525504704069,0.477752806045645,0.376317803577635,0.00111000684574769,25,93.4178838167857,172.041655660481,I,*,GW
AC.OLIV,-1.69615803475366,1,1.22081016122433,0.665394593183927,2.2398400362965,0.459678513473178,0.741015600664152,0.0128588394728899,7,156.220484211771,246.373196084271,I,*,GW
CE.FLAV,-2.05828434102672,1,1.54719638341863,1.01956409486406,2.34788245380775,0.0403080944999009,0.119873046885301,0.0448733666767784,34,42.5360126523694,83.3362340335086,P,*,GW
CH.SORD,-1.59079809732425,1,1.24334517832246,1.11620143151792,1.38497155513896,0.00013122103435359,0.736237602532455,0,71,69.809376401262,341.564362899824,P,*,GW
SC.FREN,-1.75051459335939,1,1.26938005616344,0.940896116821152,1.71254371038263,0.117748739462813,0.45736641195455,7.0357249359887e-08,50,110.643207932448,337.010041190872,I,*,GW
SC.RUBR,-1.59669418259653,1,1.21986994324136,0.894979434467948,1.66270041647193,0.180804404512732,0.97022235178367,2.17600153451514e-07,10,84.1290665881844,425.875287975891,I,*,GW
CH.ORNA,-3.32929159756276,1,2.0931801951143,1.55691861240623,2.81415052418653,9.72620177508432e-07,0.0787958299013836,0.0161486656574765,73,96.1288015297386,148.35306505448,,,GW
