"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"25","LU.BOHA",45,0.953583256194259,0,1.68747290643977,1.6078614929329,1.77102618756919,-0.706297306848464,-0.898774884184238,-0.513819729512689,2,8.57228887873873e-09,NA,NA
"26","CE.ARGU",23,0.285561596899551,0.00861936153524434,1.99080760416468,1.3621811941688,2.90953577524487,-1.2204713527134,-3.03618956288252,0.595246857455718,2,0.980565287306228,NA,NA
"27","CE.UROD",39,0.680753156568147,1.04633635089613e-10,2.0201986112227,1.66670630653733,2.4486632184557,-1.32118122451312,-2.16129846237105,-0.481063986655189,2,0.91678132435557,NA,NA
"28","VA.LOUT",12,0.891056438101358,3.96114836065387e-06,1.37404867596228,1.07105057694438,1.7627643405039,0.184530189801526,-0.707544301115396,1.07660468071845,2,0.00675338287405447,NA,NA
"29","PA.ARCA",24,0.260470957000891,0.010830107407686,1.90336385368811,1.32286634880032,2.7385940861009,-1.27395389095633,-2.5886085604273,0.0407007785146352,2,0.784911072555683,NA,NA
"30","MO.GRAN",66,0.724138094056262,0,2.28111844249039,1.88258662733367,2.76401695046542,-2.29048051557733,-3.30859728388824,-1.27236374726643,2,0.177393775066939,NA,NA
"31","PA.INSU",29,0.662414266173583,7.89794967204216e-08,2.07412559089662,1.688509055835,2.54780805110034,-1.96947790311331,-2.96660444717018,-0.972351359056431,2,0.721238756023249,NA,NA
"32","CA.TERE",23,0.640929297261701,4.48331169122795e-06,2.07540935269127,1.54209061489519,2.79317177579163,-2.20249311876006,-3.64276232013944,-0.762223917380688,2,0.800879810387522,NA,NA
"33","PT.TILE",34,0.804422923122275,7.1009864655025e-13,2.28312469148781,1.99676541438978,2.61055120412046,-2.72430225647706,-3.35374264754905,-2.09486186540507,2,0.0526817259153242,NA,NA
"34","CH.VAND",63,0.573299347506843,6.94999613415348e-13,3.30178784747173,2.78429180330771,3.91546711331074,-4.26436163737144,-5.1132994100767,-3.41542386466619,2,7.9229945049164e-08,NA,NA
"35","PS.BART",8,0.670547465957644,0.0129113108393293,2.05468005037588,1.25066260799815,3.37557873915335,-1.97357350137905,-3.6942314820255,-0.252915520732605,2,0.902594281009755,NA,NA
"36","PS.DISP",10,0.761133361694784,0.000990593747155266,2.08075774382475,1.17139756764687,3.69605751972318,-1.86919778118083,-4.04351329101934,0.305117728657689,2,0.884091470965332,NA,NA
"37","PS.OLIV",85,0.720913046997075,0,1.87346809282399,1.66157395764686,2.11238427195879,-1.62529136248995,-2.00683207662387,-1.24375064835603,2,0.282743862695665,NA,NA
"38","AC.NIGR",25,0.365288622265461,0.00137482639349562,2.97329000787596,1.92086645926262,4.60232590782427,-4.35360410592703,-7.15741598652204,-1.54979222533201,2,0.0746821175748327,NA,NA
"39","AC.OLIV",7,0.869906563802482,0.00217693163031174,3.29819021369163,2.92110728800232,3.72395041098626,-5.29304261108021,-6.2007968328123,-4.38528838934813,2,0.000107520051623844,NA,NA
"40","CE.FLAV",34,0.0960341965181284,0.0744907853611609,1.90906197301495,1.29170051789294,2.82148808204923,-2.0766214396301,-3.43033070702294,-0.722912172237261,2,0.814425262361282,NA,NA
"41","CH.SORD",71,0.889810997069711,0,2.38976095192819,2.15878520618388,2.64544957553052,-2.91940326044066,-3.48383266370741,-2.35497385717391,2,0.00080220370513584,NA,NA
"42","SC.FREN",50,0.508892750022752,6.10871908612864e-09,2.97221423661324,2.09306892369783,4.22062425575519,-4.39703921100935,-6.9502916719753,-1.8437867500434,2,0.0268236601241916,NA,NA
"43","SC.RUBR",10,0.991184666088524,1.65710600796842e-09,2.1618145070844,1.86570796113847,2.50491612856108,-2.40075333045133,-3.20954021090455,-1.5919664499981,2,0.259095041155237,NA,NA
"44","CH.ORNA",73,0.367752964569937,1.29952448801873e-08,3.50724682311959,2.81632171908651,4.36767582159337,-5.27907410301976,-6.91531455489529,-3.64283365114423,2,1.08748577165585e-06,NA,NA
"45","CA.MELA",12,0.990357656089685,2.05950811960065e-11,2.13285547711219,2.0503486053415,2.21868245936149,-2.18015951074949,-2.39371238063711,-1.96660664086187,2,0.00458301790115523,NA,NA
"46","AP.FURC",36,0.478766785852025,2.95245096437746e-06,1.44259151801333,1.12651560863915,1.84735148974807,-0.0708116238935625,-0.925335156219255,0.78371190843213,2,0.0105952636226609,NA,NA
"47","LU.BOHA",45,0.840791812982344,0,1.70142226044201,1.52516064470011,1.89805429243607,-0.739389417844392,-1.17706137038293,-0.30171746530585,2,0.00462002388497496,NA,NA
"48","CE.ARGU",23,0.362168575543695,0.00238134166501647,1.69302442720652,1.21776433254819,2.35376553123388,-0.560986300076219,-1.91666083714276,0.794688236990324,2,0.311224344142795,NA,NA
"49","CE.UROD",39,0.769533007751416,2.38031816479634e-13,2.17716343757473,1.78871730951939,2.64996632429628,-1.65543620031076,-2.59005247044056,-0.720819930180955,2,0.389630676602754,NA,NA
"50","VA.LOUT",12,0.918084428496678,9.40396312820724e-07,1.90478314935017,1.55275495654329,2.33662036032097,-1.14139866716457,-2.14064815745468,-0.142149176874468,2,0.60873260188455,NA,NA
"51","PA.ARCA",24,0.446336434384269,0.000360091429673304,1.41147420942063,1.09414506508426,1.82083665816851,-0.388206956730532,-1.04296973752322,0.266555824062152,2,0.00900084822222069,NA,NA
"52","MO.GRAN",66,0.693423561784446,0,2.92975991586914,2.47409856473335,3.46934163698473,-3.80656333619504,-4.9518920419526,-2.66123463043749,2,2.04830895547126e-05,NA,NA
"53","PA.INSU",29,0.570929724203301,2.14997516256865e-06,1.79361013837092,1.34437916979394,2.39295386357411,-1.32630222892936,-2.52242177786448,-0.130182679994238,2,0.450296368966403,NA,NA
"54","CA.TERE",23,0.787816296383163,1.63293480959226e-08,1.75470190741804,1.46949618566766,2.09526150113658,-1.44075223226045,-2.16000234418181,-0.721502120339102,2,0.140838162492114,NA,NA
"55","PT.TILE",34,0.763302391937953,1.54116719386366e-11,2.40806986820122,2.02139103745907,2.86871781989685,-3.11235135077758,-3.98719395653493,-2.23750874502023,2,0.0381927772420835,NA,NA
"56","CH.VAND",63,0.674244888303527,2.22044604925031e-16,3.18468798328507,2.6536577274821,3.82198406593442,-4.1002428737342,-4.98534613729604,-3.21513961017235,2,1.98622465841236e-06,NA,NA
"57","PS.BART",8,0.490490543721582,0.0530530769701112,4.76115917441476,2.51002570815196,9.03123685565913,-6.61967562964895,-12.1200316481283,-1.11931961116957,2,0.0127880979467137,NA,NA
"58","PS.DISP",10,0.814768366789485,0.000348935955637231,2.16316667518153,1.61066550312055,2.90519046664259,-2.00071539478188,-3.10928222719043,-0.892148562373325,2,0.5619258491966,NA,NA
"59","PS.OLIV",85,0.719651907571035,0,1.82365541009269,1.6278365380742,2.0430301058943,-1.55858418659105,-1.91791104986164,-1.19925732332045,2,0.110094910941795,NA,NA
"60","AC.NIGR",25,0.382106353702722,0.000990807209094724,2.27084866915533,1.43682069330199,3.58900293004109,-2.94641868937809,-5.21491556827428,-0.677921810481897,2,0.583626637066657,NA,NA
"61","AC.OLIV",7,0.783126747708047,0.00809869176624156,3.18415304584431,2.06630591234514,4.90674229734582,-5.03156457834505,-8.27137156091786,-1.79175759577224,2,0.0390031668696036,NA,NA
"62","CE.FLAV",34,0.441044112473025,1.84843256620937e-05,3.02270071993678,2.33432924116666,3.91406639696633,-4.07741070078071,-5.51899146936352,-2.63582993219789,2,0.0023067674978916,NA,NA
"63","CH.SORD",71,0.823601454709993,0,2.36535650186346,2.17934052923759,2.56724972800147,-2.83741494108589,-3.28569068033809,-2.38913920183369,2,0.000110690333210206,NA,NA
"64","SC.FREN",50,0.428046104349124,2.56468200454663e-07,2.58467643557354,1.84021217516166,3.63031631177109,-3.49364261266178,-5.64255627703804,-1.34472894828552,2,0.138776407360549,NA,NA
"65","SC.RUBR",10,0.891690957092287,3.93783726848618e-05,4.35503114637222,3.28985569840014,5.76508455829703,-7.94790549785327,-11.0102133839304,-4.88559761177612,2,0.000115888496367456,NA,NA
