"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p"
"19788","CA.TERE",23,0.770670453057512,3.72902437817402e-08,1.01465741809075,0.858433257064872,1.19931243065619,-0.977376560362222,-1.37046244831146,-0.584290672412986,1,0.858759768692116,NA,NA
"19789","PT.TILE",34,0.795600767245905,1.44551037806195e-12,1.52644299793176,1.30520315384317,1.78518433630361,-2.16177557130395,-2.6516246787181,-1.67192646388979,1,3.04658683591974e-06,NA,NA
"19790","CH.VAND",63,0.427446843425936,6.26087004462761e-09,2.0693280919891,1.74957492241936,2.44751950740916,-2.77883877309154,-3.30131885401877,-2.25635869216431,1,1.77635683940025e-13,NA,NA
"19791","PS.BART",8,0.822502690704555,0.00187800238829672,0.877073262541072,0.644314770663246,1.19391568048732,-0.774221024862421,-1.22173753993463,-0.326704509790212,1,0.343898765480011,NA,NA
"19792","PS.DISP",10,0.867475909952889,8.92209553973178e-05,1.19464088045607,0.883781369451132,1.614841501064,-1.17577394433362,-1.80297347751679,-0.548574411150463,1,0.214758882579525,NA,NA
"19793","PS.OLIV",85,0.653927507244757,0,1.10948095345948,0.976101863659989,1.26108558124641,-1.11962357395823,-1.36452525502388,-0.874721892892582,1,0.110794577928685,NA,NA
"19794","AC.NIGR",25,0.148958833607947,0.0567089836924206,1.27126096793513,0.788373271075034,2.0499229335764,-1.75422119437853,-3.08676931219928,-0.421673076557782,1,0.322875553605209,NA,NA
"19795","AC.OLIV",7,0.820731111704047,0.00495108135254618,0.69631252277835,0.452169756044971,1.07227677856838,-0.517524052129348,-1.21870018632656,0.183652082067865,1,0.0858056864731237,NA,NA
"19796","CE.FLAV",34,0.0413266537559977,0.248859427177337,1.16582597734681,0.790071157333465,1.72028835230976,-1.40691569336089,-2.23918300238514,-0.574648384336633,1,0.437392155034249,NA,NA
"19797","CH.SORD",71,0.58247734552659,1.02140518265514e-14,1.27796595928359,1.12484484720339,1.45193090153554,-1.67353435798061,-2.04978492385055,-1.29728379211067,1,0.000250681199157166,NA,NA
"19798","SC.FREN",50,0.25546167086044,0.000181216628034164,1.33756316508225,0.988846962993194,1.80925389624435,-1.91770993898695,-2.91409385523916,-0.921326022734747,1,0.0590399329062952,NA,NA
