pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
2516,KIF12.222,6,AP.FURC,Aphareus furca,Pi,HP.LF,,410.00,340.0,,252.0,57.3,59.2,8.679,,256 - 512 g,"1 fish: 53cm, 1 shrimp: 32mm)",
2517,KIF12.223,6,AP.FURC,Aphareus furca,Pi,HP.LF,,250.00,286.0,,218.0,47.8,50.7,7.966,,128 - 256 g,pink/yellow snot,otoliths crushed: pieces retaine
2518,KIF12.224,6,AP.FURC,Aphareus furca,Pi,HP.LF,,460.00,364.0,,258.0,61.7,57.2,8.845,,256 - 512 g,"crab larvae (7mm), 4x31mm shrimp, crab bits",
2519,KIF12.225,6,AP.FURC,Aphareus furca,Pi,HP.LF,,480.00,358.0,,270.0,60.5,63.5,8.907,,256 - 512 g,"2 manits shrimp, crustacean bits",
2520,KIF12.226,6,AP.FURC,Aphareus furca,Pi,HP.LF,,360.00,344.0,,262.0,58.8,61.2,8.492,,256 - 512 g," 2 shrimp, small fish(62mm)",
2531,KIF12.237,8,AP.FURC,Aphareus furca,Pi,HP.LF,,410.00,354.0,,279.0,51.1,55.3,8.679,,256 - 512 g,crab larvae & shrimp,
2532,KIF12.238,8,AP.FURC,Aphareus furca,Pi,HP.LF,,500.00,372.0,,284.0,61.5,63.3,8.966,,256 - 512 g,crab larvae & fish remains,
2533,KIF12.239,8,AP.FURC,Aphareus furca,Pi,HP.LF,,640.00,402.0,,304.0,60.3,62.4,9.322,,512 - 1024 g,"ps.cooperii(73mm), crab larave",
2534,KIF12.240,8,AP.FURC,Aphareus furca,Pi,HP.LF,,510.00,380.0,,320.0,54.4,60.4,8.994,,256 - 512 g,crab larvae,
2545,KIF12.251,15,AP.FURC,Aphareus furca,Pi,LP.LF,,300.00,310.0,,230.0,53.0,54.3,8.229,,256 - 512 g,crustacean larvae - see photo,
2547,KIF12.253,15,AP.FURC,Aphareus furca,Pi,LP.LF,,220.00,290.0,,215.0,51.0,51.9,7.781,,128 - 256 g,small crustaceans,
2548,KIF12.254,15,AP.FURC,Aphareus furca,Pi,LP.LF,,230.00,271.0,,218.0,50.0,49.3,7.845,,128 - 256 g,"7mm crab larvae, shrimp",
2577,KIF12.283,3,AP.FURC,Aphareus furca,Pi,LP.MF,,200.00,258.0,,203.0,47.3,48.6,7.644,,128 - 256 g,few crustacean remains,crushed otoliths
2581,KIF12.287,24,AP.FURC,Aphareus furca,Pi,LP.MF,,440.00,362.0,,270.0,55.0,58.3,8.781,,256 - 512 g,shit ton of crab larvae - see photo,
2582,KIF12.288,24,AP.FURC,Aphareus furca,Pi,LP.MF,,410.00,360.0,,280.0,62.4,63.0,8.679,,256 - 512 g,crab larvae - see photo,
2583,KIF12.289,24,AP.FURC,Aphareus furca,Pi,LP.MF,,410.00,349.0,,261.0,62.4,63.0,8.679,,256 - 512 g,29 crab larvae,
2584,KIF12.290,24,AP.FURC,Aphareus furca,Pi,LP.MF,,330.00,362.0,,278.0,60.6,62.4,8.366,,256 - 512 g,"crustaceans, crab larvae (~3), (10-11)shrimp, 15 baby crabs- see photo",
2585,KIF12.291,24,AP.FURC,Aphareus furca,Pi,LP.MF,,266.00,348.0,,292.0,445.0,61.2,8.055,,256 - 512 g,crab larvae,
2586,KIF12.292,3,AP.FURC,Aphareus furca,Pi,LP.MF,,230.00,272.0,,213.0,42.4,45.3,7.845,,128 - 256 g,crab larvae,
2587,KIF12.293,3,AP.FURC,Aphareus furca,Pi,LP.MF,,200.00,259.0,,203.0,48.5,52.1,7.644,,128 - 256 g,crustacean remains,
2589,KIF12.295,3,AP.FURC,Aphareus furca,Pi,LP.MF,,240.00,290.2,,226.0,44.5,45.9,7.907,,128 - 256 g,crab larvae,
2590,KIF12.296,3,AP.FURC,Aphareus furca,Pi,LP.MF,,385.00,332.0,,253.0,62.2,62.9,8.589,,256 - 512 g,gut shot,
2601,KIF12.307,38,AP.FURC,Aphareus furca,Pi,LP.MF,,200.00,255.0,,196.0,50.5,50.9,7.644,,128 - 256 g,crustacean remains,
2602,KIF12.308,38,AP.FURC,Aphareus furca,Pi,LP.MF,,220.00,264.0,,208.0,51.4,51.1,7.781,,128 - 256 g,bunch of shrimp & crab larvae,
2610,KIF12.316,15,AP.FURC,Aphareus furca,Pi,LP.LF,,230.00,285.0,,214.1,48.8,50.0,7.845,,128 - 256 g,2 crabs,1 otolith in pieces
2664,KIF12.370,15,AP.FURC,Aphareus furca,Pi,LP.LF,,270.00,273.0,,204.0,52.2,54.4,8.077,,256 - 512 g,invert mush,
2665,KIF12.371,15,AP.FURC,Aphareus furca,Pi,LP.LF,,250.00,289.0,,226.0,52.0,56.0,7.966,,128 - 256 g,crustacean remains,
2421,KIF12.127,40,AP.VIRE,Aprion virescens,AP,HP.MF,,1469.00,590.0,,480.0,61.0,65.0,10.521,>160mm TL,1.02 - 2.05 kg,"goatfish (+ various crustaceans, possibly from the goatfish, i.e. as opposed to being prey of the AP. VIRE)",Note: hang balance may have been inaccurate on these - may have to correct via L-W  
2530,KIF12.236,40,AP.VIRE,Aprion virescens,AP,HP.MF,,450.00,400.0,,302.0,51.5,53.4,8.814,,256 - 512 g,fish scales & mush,
1580,KIF11_213,15,CA.TERE,Caesio teres,ZP,LP.LF,,268.00,278.0,239.0,217.0,23.5,20.1,8.066,,256 - 512 g,nothing identifiable: pinkish crustacean goop,
1581,KIF11_214,15,CA.TERE,Caesio teres,ZP,LP.LF,,66.00,188.0,163.0,145.0,13.5,15.2,6.044,,64 - 128 g,small amount of yellowish snot,
1582,KIF11_215,15,CA.TERE,Caesio teres,ZP,LP.LF,,63.00,183.0,156.0,142.0,18.0,16.5,5.977,,32 - 64 g,small amount of yellowish snot,
1583,KIF11_216,15,CA.TERE,Caesio teres,ZP,LP.LF,,63.40,185.0,157.0,142.0,18.0,18.0,5.986,,32 - 64 g,small amount of yellowish snot,
1616,KIF11_249,15,CA.TERE,Caesio teres,ZP,LP.LF,,194.70,240.0,205.0,185.0,23.0,20.6,7.605,,128 - 256 g,snot,
1618,KIF11_251,15,CA.TERE,Caesio teres,ZP,LP.LF,,67.10,185.0,154.0,140.0,19.0,20.4,6.068,,64 - 128 g,snot,
1620,KIF11_253,15,CA.TERE,Caesio teres,ZP,LP.LF,,66.00,187.0,156.0,148.0,16.0,15.0,6.044,,64 - 128 g,snot,
1675,KIF11_404,16,CA.TERE,Caesio teres,ZP,LP.LF,,55.50,173.0,146.0,136.0,18.7,17.0,5.794,,32 - 64 g,snot with orange flecks,
1676,KIF11_405,2,CA.TERE,Caesio teres,ZP,LP.MF,,346.10,298.0,255.0,237.0,24.4,22.7,8.435,,256 - 512 g,snot and tiny crustaceans,
